"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"경기도 남양주시 수동면(4136034000)","9,243","4,708","          1.96","4,841","4,402","          1.10","9,223","4,707","          1.96","4,817","4,406","          1.09","9,078","4,736","          1.92","4,771","4,307","          1.11","9,076","4,830","          1.88","4,754","4,322","          1.10","8,957","4,862","          1.84","4,720","4,237","          1.11","8,855","4,846","          1.83","4,649","4,206","          1.11","8,807","4,853","          1.81","4,633","4,174","          1.11","8,512","4,733","          1.80","4,450","4,062","          1.10"
"경기도 남양주시 조안면(4136036000)","4,384","2,022","          2.17","2,286","2,098","          1.09","4,363","2,042","          2.14","2,264","2,099","          1.08","4,275","2,045","          2.09","2,230","2,045","          1.09","4,195","2,052","          2.04","2,175","2,020","          1.08","4,086","2,030","          2.01","2,110","1,976","          1.07","3,983","1,988","          2.00","2,064","1,919","          1.08","3,874","1,967","          1.97","1,997","1,877","          1.06","3,792","1,938","          1.96","1,966","1,826","          1.08"
"경기도 남양주시 퇴계원면(4136037000)","31,737","12,165","          2.61","15,806","15,931","          0.99","31,094","12,205","          2.55","15,494","15,600","          0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"경기도 남양주시 호평동(4136051000)","51,420","18,608","          2.76","25,208","26,212","          0.96","50,847","18,658","          2.73","24,898","25,949","          0.96","50,709","18,812","          2.70","24,741","25,968","          0.95","50,880","19,079","          2.67","24,792","26,088","          0.95","57,475","21,856","          2.63","28,029","29,446","          0.95","56,736","21,749","          2.61","27,670","29,066","          0.95","56,341","21,736","          2.59","27,494","28,847","          0.95","55,809","21,767","          2.56","27,135","28,674","          0.95"
"경기도 남양주시 평내동(4136052000)","40,595","14,899","          2.72","19,923","20,672","          0.96","36,411","13,183","          2.76","17,928","18,483","          0.97","34,585","12,497","          2.77","17,017","17,568","          0.97","36,643","13,503","          2.71","18,041","18,602","          0.97","36,620","13,757","          2.66","18,078","18,542","          0.97","37,739","14,435","          2.61","18,542","19,197","          0.97","37,869","14,551","          2.60","18,565","19,304","          0.96","37,487","14,558","          2.58","18,390","19,097","          0.96"
"경기도 남양주시 금곡동(4136053000)","21,430","9,411","          2.28","10,913","10,517","          1.04","20,674","9,331","          2.22","10,498","10,176","          1.03","19,508","8,940","          2.18","9,912","9,596","          1.03","18,992","8,945","          2.12","9,667","9,325","          1.04","18,448","8,906","          2.07","9,442","9,006","          1.05","17,867","8,736","          2.05","9,154","8,713","          1.05","17,703","8,873","          2.00","9,047","8,656","          1.05","17,141","8,684","          1.97","8,747","8,394","          1.04"
"경기도 남양주시 양정동(4136054000)","5,055","2,659","          1.90","2,802","2,253","          1.24","4,893","2,631","          1.86","2,722","2,171","          1.25","4,662","2,565","          1.82","2,620","2,042","          1.28","4,620","2,605","          1.77","2,613","2,007","          1.30","4,220","2,452","          1.72","2,416","1,804","          1.34","3,737","2,207","          1.69","2,163","1,574","          1.37","2,911","1,783","          1.63","1,733","1,178","          1.47","2,413","1,474","          1.64","1,424","989","          1.44"
"경기도 남양주시 다산1동(4136054500)","39,717","13,894","          2.86","19,346","20,371","          0.95","63,847","22,181","          2.88","31,207","32,640","          0.96","74,497","26,752","          2.78","36,487","38,010","          0.96","77,068","28,407","          2.71","37,865","39,203","          0.97","91,650","35,000","          2.62","44,975","46,675","          0.96","100,026","39,140","          2.56","49,030","50,996","          0.96","101,791","40,169","          2.53","49,828","51,963","          0.96","105,470","42,059","          2.51","51,503","53,967","          0.95"
"경기도 남양주시 다산2동(4136056500)","17,859","6,972","          2.56","8,766","9,093","          0.96","17,557","6,972","          2.52","8,584","8,973","          0.96","31,903","12,086","          2.64","15,525","16,378","          0.95","36,282","13,653","          2.66","17,680","18,602","          0.95","35,495","13,388","          2.65","17,336","18,159","          0.95","35,489","13,604","          2.61","17,345","18,144","          0.96","36,184","14,059","          2.57","17,663","18,521","          0.95","36,533","14,244","          2.56","17,828","18,705","          0.95"
"경기도 남양주시 별내동(4136057000)","69,418","26,611","          2.61","34,054","35,364","          0.96","69,623","26,998","          2.58","34,069","35,554","          0.96","70,572","28,216","          2.50","34,461","36,111","          0.95","73,938","29,792","          2.48","35,961","37,977","          0.95","79,030","32,998","          2.39","38,402","40,628","          0.95","79,808","33,775","          2.36","38,762","41,046","          0.94","80,391","34,307","          2.34","39,004","41,387","          0.94","82,813","35,575","          2.33","40,192","42,621","          0.94"
